hand,combo,num_cameras,bone,start,end,length_mm,gt_length_mm,error_mm,abs_error_mm
right,cam1+cam2,2,wrist_thumb_cmc,0,1,49.4824279585556,51,-1.517572041444403,1.517572041444403
right,cam1+cam2,2,thumb_cmc_mcp,1,2,31.771555754444183,35,-3.228444245555817,3.228444245555817
right,cam1+cam2,2,thumb_mcp_ip,2,3,30.216793113412802,30,0.21679311341280183,0.21679311341280183
right,cam1+cam2,2,thumb_ip_tip,3,4,26.89183055950825,25,1.89183055950825,1.89183055950825
right,cam1+cam2,2,wrist_index_mcp,0,5,72.7681289890868,82,-9.231871010913196,9.231871010913196
right,cam1+cam2,2,index_mcp_pip,5,6,45.88875778036495,46,-0.11124221963505221,0.11124221963505221
right,cam1+cam2,2,index_pip_dip,6,7,25.34768599104199,24,1.3476859910419883,1.3476859910419883
right,cam1+cam2,2,index_dip_tip,7,8,19.944678355365337,20,-0.05532164463466316,0.05532164463466316
right,cam1+cam2,2,wrist_middle_mcp,0,9,69.51143437454694,82,-12.488565625453063,12.488565625453063
right,cam1+cam2,2,middle_mcp_pip,9,10,51.11209149212364,51,0.11209149212363911,0.11209149212363911
right,cam1+cam2,2,middle_pip_dip,10,11,26.934835383559115,27,-0.06516461644088523,0.06516461644088523
right,cam1+cam2,2,middle_dip_tip,11,12,24.555420763050723,22,2.555420763050723,2.555420763050723
right,cam1+cam2,2,wrist_ring_mcp,0,13,68.70642829093975,82,-13.293571709060245,13.293571709060245
right,cam1+cam2,2,ring_mcp_pip,13,14,43.12293738628402,46,-2.877062613715978,2.877062613715978
right,cam1+cam2,2,ring_pip_dip,14,15,27.470109392535655,25,2.4701093925356545,2.4701093925356545
right,cam1+cam2,2,ring_dip_tip,15,16,22.081586137920965,22,0.08158613792096503,0.08158613792096503
right,cam1+cam2,2,wrist_pinky_mcp,0,17,68.80299777107508,82,-13.197002228924916,13.197002228924916
right,cam1+cam2,2,pinky_mcp_pip,17,18,33.07339316446422,37,-3.926606835535779,3.926606835535779
right,cam1+cam2,2,pinky_pip_dip,18,19,21.463435494814956,21,0.4634354948149557,0.4634354948149557
right,cam1+cam2,2,pinky_dip_tip,19,20,17.86933096011626,19,-1.1306690398837382,1.1306690398837382
right,cam1+cam3,2,wrist_thumb_cmc,0,1,48.76925255093346,51,-2.2307474490665413,2.2307474490665413
right,cam1+cam3,2,thumb_cmc_mcp,1,2,31.673952258639616,35,-3.3260477413603837,3.3260477413603837
right,cam1+cam3,2,thumb_mcp_ip,2,3,30.72630769740229,30,0.7263076974022908,0.7263076974022908
right,cam1+cam3,2,thumb_ip_tip,3,4,27.560756898677212,25,2.5607568986772122,2.5607568986772122
right,cam1+cam3,2,wrist_index_mcp,0,5,70.59947615315228,82,-11.400523846847719,11.400523846847719
right,cam1+cam3,2,index_mcp_pip,5,6,47.56847566488655,46,1.5684756648865488,1.5684756648865488
right,cam1+cam3,2,index_pip_dip,6,7,26.234690925041097,24,2.2346909250410967,2.2346909250410967
right,cam1+cam3,2,index_dip_tip,7,8,17.92877750714994,20,-2.0712224928500618,2.0712224928500618
right,cam1+cam3,2,wrist_middle_mcp,0,9,70.40605285177473,82,-11.593947148225269,11.593947148225269
right,cam1+cam3,2,middle_mcp_pip,9,10,49.932514201689095,51,-1.067485798310905,1.067485798310905
right,cam1+cam3,2,middle_pip_dip,10,11,27.915116745594634,27,0.9151167455946343,0.9151167455946343
right,cam1+cam3,2,middle_dip_tip,11,12,23.571841221277985,22,1.5718412212779853,1.5718412212779853
right,cam1+cam3,2,wrist_ring_mcp,0,13,68.41191301659326,82,-13.58808698340674,13.58808698340674
right,cam1+cam3,2,ring_mcp_pip,13,14,43.27697526047361,46,-2.7230247395263873,2.7230247395263873
right,cam1+cam3,2,ring_pip_dip,14,15,28.682650755013018,25,3.682650755013018,3.682650755013018
right,cam1+cam3,2,ring_dip_tip,15,16,21.8014510008094,22,-0.19854899919059932,0.19854899919059932
right,cam1+cam3,2,wrist_pinky_mcp,0,17,70.6526828390894,82,-11.347317160910606,11.347317160910606
right,cam1+cam3,2,pinky_mcp_pip,17,18,32.10061226190947,37,-4.899387738090532,4.899387738090532
right,cam1+cam3,2,pinky_pip_dip,18,19,21.990778065344795,21,0.9907780653447951,0.9907780653447951
right,cam1+cam3,2,pinky_dip_tip,19,20,17.74328130661238,19,-1.2567186933876187,1.2567186933876187
right,cam1+cam4,2,wrist_thumb_cmc,0,1,49.463456546692775,51,-1.5365434533072246,1.5365434533072246
right,cam1+cam4,2,thumb_cmc_mcp,1,2,30.270702807110062,35,-4.729297192889938,4.729297192889938
right,cam1+cam4,2,thumb_mcp_ip,2,3,29.76531253055744,30,-0.2346874694425587,0.2346874694425587
right,cam1+cam4,2,thumb_ip_tip,3,4,29.65237327380576,25,4.652373273805761,4.652373273805761
right,cam1+cam4,2,wrist_index_mcp,0,5,72.12956082055909,82,-9.870439179440908,9.870439179440908
right,cam1+cam4,2,index_mcp_pip,5,6,45.1840016236356,46,-0.8159983763643979,0.8159983763643979
right,cam1+cam4,2,index_pip_dip,6,7,26.286049577233143,24,2.2860495772331433,2.2860495772331433
right,cam1+cam4,2,index_dip_tip,7,8,19.10754679599995,20,-0.8924532040000486,0.8924532040000486
right,cam1+cam4,2,wrist_middle_mcp,0,9,70.36235312272498,82,-11.637646877275017,11.637646877275017
right,cam1+cam4,2,middle_mcp_pip,9,10,49.58948086588828,51,-1.4105191341117234,1.4105191341117234
right,cam1+cam4,2,middle_pip_dip,10,11,27.198973088623994,27,0.198973088623994,0.198973088623994
right,cam1+cam4,2,middle_dip_tip,11,12,24.198531413308643,22,2.1985314133086433,2.1985314133086433
right,cam1+cam4,2,wrist_ring_mcp,0,13,68.09782583830437,82,-13.902174161695626,13.902174161695626
right,cam1+cam4,2,ring_mcp_pip,13,14,42.6126621561228,46,-3.387337843877198,3.387337843877198
right,cam1+cam4,2,ring_pip_dip,14,15,27.78342518834694,25,2.783425188346939,2.783425188346939
right,cam1+cam4,2,ring_dip_tip,15,16,22.976471665167406,22,0.9764716651674057,0.9764716651674057
right,cam1+cam4,2,wrist_pinky_mcp,0,17,67.537727184124,82,-14.462272815876005,14.462272815876005
right,cam1+cam4,2,pinky_mcp_pip,17,18,29.771070528874507,37,-7.228929471125493,7.228929471125493
right,cam1+cam4,2,pinky_pip_dip,18,19,25.071857777665436,21,4.071857777665436,4.071857777665436
right,cam1+cam4,2,pinky_dip_tip,19,20,17.81885815710827,19,-1.18114184289173,1.18114184289173
right,cam2+cam3,2,wrist_thumb_cmc,0,1,52.97237009208523,51,1.972370092085228,1.972370092085228
right,cam2+cam3,2,thumb_cmc_mcp,1,2,32.47165125051362,35,-2.5283487494863834,2.5283487494863834
right,cam2+cam3,2,thumb_mcp_ip,2,3,30.276226132745013,30,0.2762261327450126,0.2762261327450126
right,cam2+cam3,2,thumb_ip_tip,3,4,25.66979805631351,25,0.6697980563135104,0.6697980563135104
right,cam2+cam3,2,wrist_index_mcp,0,5,76.71487131771728,82,-5.285128682282718,5.285128682282718
right,cam2+cam3,2,index_mcp_pip,5,6,46.08483056945569,46,0.0848305694556899,0.0848305694556899
right,cam2+cam3,2,index_pip_dip,6,7,23.53023044335924,24,-0.4697695566407596,0.4697695566407596
right,cam2+cam3,2,index_dip_tip,7,8,22.250570942700598,20,2.250570942700598,2.250570942700598
right,cam2+cam3,2,wrist_middle_mcp,0,9,70.75971351672734,82,-11.240286483272655,11.240286483272655
right,cam2+cam3,2,middle_mcp_pip,9,10,51.79626068054871,51,0.7962606805487127,0.7962606805487127
right,cam2+cam3,2,middle_pip_dip,10,11,27.894219190411786,27,0.8942191904117855,0.8942191904117855
right,cam2+cam3,2,middle_dip_tip,11,12,23.15914149605416,22,1.1591414960541613,1.1591414960541613
right,cam2+cam3,2,wrist_ring_mcp,0,13,69.07026579236981,82,-12.92973420763019,12.92973420763019
right,cam2+cam3,2,ring_mcp_pip,13,14,45.001897410708075,46,-0.9981025892919249,0.9981025892919249
right,cam2+cam3,2,ring_pip_dip,14,15,27.89276967997965,25,2.8927696799796507,2.8927696799796507
right,cam2+cam3,2,ring_dip_tip,15,16,23.541616565550957,22,1.5416165655509566,1.5416165655509566
right,cam2+cam3,2,wrist_pinky_mcp,0,17,69.06303971687437,82,-12.936960283125629,12.936960283125629
right,cam2+cam3,2,pinky_mcp_pip,17,18,35.56850054046955,37,-1.4314994595304498,1.4314994595304498
right,cam2+cam3,2,pinky_pip_dip,18,19,20.379455653521642,21,-0.6205443464783578,0.6205443464783578
right,cam2+cam3,2,pinky_dip_tip,19,20,19.476561414137066,19,0.4765614141370662,0.4765614141370662
right,cam2+cam4,2,wrist_thumb_cmc,0,1,51.487185356206254,51,0.487185356206254,0.487185356206254
right,cam2+cam4,2,thumb_cmc_mcp,1,2,30.962274197962184,35,-4.037725802037816,4.037725802037816
right,cam2+cam4,2,thumb_mcp_ip,2,3,30.45247069481265,30,0.45247069481265,0.45247069481265
right,cam2+cam4,2,thumb_ip_tip,3,4,27.968721801947147,25,2.9687218019471473,2.9687218019471473
right,cam2+cam4,2,wrist_index_mcp,0,5,75.37695001810667,82,-6.623049981893331,6.623049981893331
right,cam2+cam4,2,index_mcp_pip,5,6,44.91113852399853,46,-1.088861476001469,1.088861476001469
right,cam2+cam4,2,index_pip_dip,6,7,24.067327133952208,24,0.06732713395220813,0.06732713395220813
right,cam2+cam4,2,index_dip_tip,7,8,22.88904771631794,20,2.8890477163179398,2.8890477163179398
right,cam2+cam4,2,wrist_middle_mcp,0,9,71.03385686328231,82,-10.96614313671769,10.96614313671769
right,cam2+cam4,2,middle_mcp_pip,9,10,50.96847959660332,51,-0.0315204033966765,0.0315204033966765
right,cam2+cam4,2,middle_pip_dip,10,11,27.266127602177484,27,0.2661276021774839,0.2661276021774839
right,cam2+cam4,2,middle_dip_tip,11,12,24.452934374578497,22,2.452934374578497,2.452934374578497
right,cam2+cam4,2,wrist_ring_mcp,0,13,68.57663359207109,82,-13.42336640792891,13.42336640792891
right,cam2+cam4,2,ring_mcp_pip,13,14,44.21434591578126,46,-1.7856540842187414,1.7856540842187414
right,cam2+cam4,2,ring_pip_dip,14,15,27.959507510712868,25,2.959507510712868,2.959507510712868
right,cam2+cam4,2,ring_dip_tip,15,16,23.76163504348373,22,1.7616350434837287,1.7616350434837287
right,cam2+cam4,2,wrist_pinky_mcp,0,17,69.22252838249399,82,-12.77747161750601,12.77747161750601
right,cam2+cam4,2,pinky_mcp_pip,17,18,32.984292198586914,37,-4.015707801413086,4.015707801413086
right,cam2+cam4,2,pinky_pip_dip,18,19,23.010831580225826,21,2.010831580225826,2.010831580225826
right,cam2+cam4,2,pinky_dip_tip,19,20,20.874124213206215,19,1.8741242132062155,1.8741242132062155
right,cam3+cam4,2,wrist_thumb_cmc,0,1,51.71558874580902,51,0.715588745809022,0.715588745809022
right,cam3+cam4,2,thumb_cmc_mcp,1,2,29.77495499654827,35,-5.225045003451729,5.225045003451729
right,cam3+cam4,2,thumb_mcp_ip,2,3,30.900927866300112,30,0.9009278663001119,0.9009278663001119
right,cam3+cam4,2,thumb_ip_tip,3,4,28.13755538690799,25,3.137555386907991,3.137555386907991
right,cam3+cam4,2,wrist_index_mcp,0,5,73.66840055286019,82,-8.331599447139808,8.331599447139808
right,cam3+cam4,2,index_mcp_pip,5,6,46.122815918829396,46,0.1228159188293958,0.1228159188293958
right,cam3+cam4,2,index_pip_dip,6,7,23.5935490012683,24,-0.40645099873169954,0.40645099873169954
right,cam3+cam4,2,index_dip_tip,7,8,21.998382481901544,20,1.9983824819015439,1.9983824819015439
right,cam3+cam4,2,wrist_middle_mcp,0,9,71.45333811802567,82,-10.54666188197433,10.54666188197433
right,cam3+cam4,2,middle_mcp_pip,9,10,50.0190058728245,51,-0.9809941271754994,0.9809941271754994
right,cam3+cam4,2,middle_pip_dip,10,11,28.004232873010817,27,1.0042328730108174,1.0042328730108174
right,cam3+cam4,2,middle_dip_tip,11,12,23.641974632848836,22,1.6419746328488358,1.6419746328488358
right,cam3+cam4,2,wrist_ring_mcp,0,13,67.63644529388134,82,-14.363554706118663,14.363554706118663
right,cam3+cam4,2,ring_mcp_pip,13,14,44.88318643752894,46,-1.1168135624710587,1.1168135624710587
right,cam3+cam4,2,ring_pip_dip,14,15,28.804237162084696,25,3.8042371620846964,3.8042371620846964
right,cam3+cam4,2,ring_dip_tip,15,16,24.063243096406953,22,2.0632430964069535,2.0632430964069535
right,cam3+cam4,2,wrist_pinky_mcp,0,17,69.26990144862536,82,-12.730098551374638,12.730098551374638
right,cam3+cam4,2,pinky_mcp_pip,17,18,32.48852178896018,37,-4.511478211039822,4.511478211039822
right,cam3+cam4,2,pinky_pip_dip,18,19,23.242880811603037,21,2.2428808116030368,2.2428808116030368
right,cam3+cam4,2,pinky_dip_tip,19,20,17.746666100318564,19,-1.2533338996814365,1.2533338996814365
right,cam1+cam2+cam3,3,wrist_thumb_cmc,0,1,49.820820132710985,51,-1.1791798672890152,1.1791798672890152
right,cam1+cam2+cam3,3,thumb_cmc_mcp,1,2,31.821650058371393,35,-3.178349941628607,3.178349941628607
right,cam1+cam2+cam3,3,thumb_mcp_ip,2,3,30.6638858008747,30,0.6638858008746986,0.6638858008746986
right,cam1+cam2+cam3,3,thumb_ip_tip,3,4,26.809726274079413,25,1.8097262740794129,1.8097262740794129
right,cam1+cam2+cam3,3,wrist_index_mcp,0,5,72.8562468118271,82,-9.143753188172894,9.143753188172894
right,cam1+cam2+cam3,3,index_mcp_pip,5,6,46.74280551977032,46,0.7428055197703216,0.7428055197703216
right,cam1+cam2+cam3,3,index_pip_dip,6,7,25.02517585074203,24,1.0251758507420305,1.0251758507420305
right,cam1+cam2+cam3,3,index_dip_tip,7,8,19.74172431936114,20,-0.2582756806388602,0.2582756806388602
right,cam1+cam2+cam3,3,wrist_middle_mcp,0,9,70.25782866544068,82,-11.742171334559316,11.742171334559316
right,cam1+cam2+cam3,3,middle_mcp_pip,9,10,51.03253782511024,51,0.03253782511023928,0.03253782511023928
right,cam1+cam2+cam3,3,middle_pip_dip,10,11,27.42765516501798,27,0.4276551650179812,0.4276551650179812
right,cam1+cam2+cam3,3,middle_dip_tip,11,12,23.89862009098099,22,1.898620090980991,1.898620090980991
right,cam1+cam2+cam3,3,wrist_ring_mcp,0,13,68.62181438805787,82,-13.37818561194213,13.37818561194213
right,cam1+cam2+cam3,3,ring_mcp_pip,13,14,43.82324460028224,46,-2.176755399717763,2.176755399717763
right,cam1+cam2+cam3,3,ring_pip_dip,14,15,28.033361532823424,25,3.033361532823424,3.033361532823424
right,cam1+cam2+cam3,3,ring_dip_tip,15,16,22.471050025106724,22,0.4710500251067238,0.4710500251067238
right,cam1+cam2+cam3,3,wrist_pinky_mcp,0,17,69.36867644540378,82,-12.631323554596221,12.631323554596221
right,cam1+cam2+cam3,3,pinky_mcp_pip,17,18,33.4875764354551,37,-3.5124235645449033,3.5124235645449033
right,cam1+cam2+cam3,3,pinky_pip_dip,18,19,21.262994467223297,21,0.26299446722329733,0.26299446722329733
right,cam1+cam2+cam3,3,pinky_dip_tip,19,20,17.944019807857025,19,-1.0559801921429752,1.0559801921429752
right,cam1+cam2+cam4,3,wrist_thumb_cmc,0,1,50.216548957142805,51,-0.7834510428571946,0.7834510428571946
right,cam1+cam2+cam4,3,thumb_cmc_mcp,1,2,30.94731427339979,35,-4.05268572660021,4.05268572660021
right,cam1+cam2+cam4,3,thumb_mcp_ip,2,3,30.048640461846833,30,0.04864046184683346,0.04864046184683346
right,cam1+cam2+cam4,3,thumb_ip_tip,3,4,27.453318101865438,25,2.453318101865438,2.453318101865438
right,cam1+cam2+cam4,3,wrist_index_mcp,0,5,73.26433336778496,82,-8.735666632215043,8.735666632215043
right,cam1+cam2+cam4,3,index_mcp_pip,5,6,45.34230901357667,46,-0.6576909864233329,0.6576909864233329
right,cam1+cam2+cam4,3,index_pip_dip,6,7,25.198880058132744,24,1.198880058132744,1.198880058132744
right,cam1+cam2+cam4,3,index_dip_tip,7,8,20.47395442153062,20,0.47395442153062106,0.47395442153062106
right,cam1+cam2+cam4,3,wrist_middle_mcp,0,9,70.11740134598045,82,-11.882598654019546,11.882598654019546
right,cam1+cam2+cam4,3,middle_mcp_pip,9,10,50.53144577080583,51,-0.46855422919416867,0.46855422919416867
right,cam1+cam2+cam4,3,middle_pip_dip,10,11,27.128566934569182,27,0.12856693456918222,0.12856693456918222
right,cam1+cam2+cam4,3,middle_dip_tip,11,12,24.4125019262689,22,2.4125019262688987,2.4125019262688987
right,cam1+cam2+cam4,3,wrist_ring_mcp,0,13,68.44256055552839,82,-13.557439444471612,13.557439444471612
right,cam1+cam2+cam4,3,ring_mcp_pip,13,14,43.31041888691926,46,-2.6895811130807417,2.6895811130807417
right,cam1+cam2+cam4,3,ring_pip_dip,14,15,27.704111799026936,25,2.7041117990269363,2.7041117990269363
right,cam1+cam2+cam4,3,ring_dip_tip,15,16,22.503256818894492,22,0.5032568188944921,0.5032568188944921
right,cam1+cam2+cam4,3,wrist_pinky_mcp,0,17,68.4281686948849,82,-13.571831305115097,13.571831305115097
right,cam1+cam2+cam4,3,pinky_mcp_pip,17,18,32.01430584133894,37,-4.985694158661062,4.985694158661062
right,cam1+cam2+cam4,3,pinky_pip_dip,18,19,22.775521372503608,21,1.7755213725036079,1.7755213725036079
right,cam1+cam2+cam4,3,pinky_dip_tip,19,20,18.03259321950493,19,-0.9674067804950717,0.9674067804950717
right,cam1+cam3+cam4,3,wrist_thumb_cmc,0,1,50.1019938256092,51,-0.898006174390801,0.898006174390801
right,cam1+cam3+cam4,3,thumb_cmc_mcp,1,2,30.686956423821133,35,-4.313043576178867,4.313043576178867
right,cam1+cam3+cam4,3,thumb_mcp_ip,2,3,30.495862646805765,30,0.4958626468057652,0.4958626468057652
right,cam1+cam3+cam4,3,thumb_ip_tip,3,4,27.83418189252892,25,2.834181892528921,2.834181892528921
right,cam1+cam3+cam4,3,wrist_index_mcp,0,5,72.27127353301908,82,-9.728726466980916,9.728726466980916
right,cam1+cam3+cam4,3,index_mcp_pip,5,6,46.2598562836997,46,0.2598562836996976,0.2598562836996976
right,cam1+cam3+cam4,3,index_pip_dip,6,7,25.451006639541635,24,1.4510066395416352,1.4510066395416352
right,cam1+cam3+cam4,3,index_dip_tip,7,8,19.62037411606514,20,-0.3796258839348603,0.3796258839348603
right,cam1+cam3+cam4,3,wrist_middle_mcp,0,9,70.83531994007596,82,-11.164680059924038,11.164680059924038
right,cam1+cam3+cam4,3,middle_mcp_pip,9,10,49.835852920046285,51,-1.1641470799537146,1.1641470799537146
right,cam1+cam3+cam4,3,middle_pip_dip,10,11,27.811616020725538,27,0.8116160207255376,0.8116160207255376
right,cam1+cam3+cam4,3,middle_dip_tip,11,12,23.78327265895078,22,1.7832726589507786,1.7832726589507786
right,cam1+cam3+cam4,3,wrist_ring_mcp,0,13,68.20692779439253,82,-13.793072205607473,13.793072205607473
right,cam1+cam3+cam4,3,ring_mcp_pip,13,14,43.63529911323426,46,-2.364700886765739,2.364700886765739
right,cam1+cam3+cam4,3,ring_pip_dip,14,15,28.518123174207588,25,3.518123174207588,3.518123174207588
right,cam1+cam3+cam4,3,ring_dip_tip,15,16,22.54842570995684,22,0.5484257099568417,0.5484257099568417
right,cam1+cam3+cam4,3,wrist_pinky_mcp,0,17,69.74092102204816,82,-12.259078977951845,12.259078977951845
right,cam1+cam3+cam4,3,pinky_mcp_pip,17,18,31.228084758607988,37,-5.771915241392012,5.771915241392012
right,cam1+cam3+cam4,3,pinky_pip_dip,18,19,23.09117442544345,21,2.0911744254434517,2.0911744254434517
right,cam1+cam3+cam4,3,pinky_dip_tip,19,20,17.86315771941647,19,-1.1368422805835294,1.1368422805835294
right,cam2+cam3+cam4,3,wrist_thumb_cmc,0,1,51.877111262356586,51,0.8771112623565855,0.8771112623565855
right,cam2+cam3+cam4,3,thumb_cmc_mcp,1,2,30.53585529620478,35,-4.46414470379522,4.46414470379522
right,cam2+cam3+cam4,3,thumb_mcp_ip,2,3,30.589119821826625,30,0.5891198218266247,0.5891198218266247
right,cam2+cam3+cam4,3,thumb_ip_tip,3,4,27.590949132004862,25,2.5909491320048623,2.5909491320048623
right,cam2+cam3+cam4,3,wrist_index_mcp,0,5,74.60617895098652,82,-7.393821049013482,7.393821049013482
right,cam2+cam3+cam4,3,index_mcp_pip,5,6,45.89948070266769,46,-0.10051929733231191,0.10051929733231191
right,cam2+cam3+cam4,3,index_pip_dip,6,7,23.363381228405505,24,-0.6366187715944953,0.6366187715944953
right,cam2+cam3+cam4,3,index_dip_tip,7,8,22.38859496373684,20,2.388594963736839,2.388594963736839
right,cam2+cam3+cam4,3,wrist_middle_mcp,0,9,71.0018559264051,82,-10.9981440735949,10.9981440735949
right,cam2+cam3+cam4,3,middle_mcp_pip,9,10,50.93287987913316,51,-0.06712012086683927,0.06712012086683927
right,cam2+cam3+cam4,3,middle_pip_dip,10,11,27.670168402502437,27,0.670168402502437,0.670168402502437
right,cam2+cam3+cam4,3,middle_dip_tip,11,12,23.7583781514715,22,1.7583781514715007,1.7583781514715007
right,cam2+cam3+cam4,3,wrist_ring_mcp,0,13,68.30566565104094,82,-13.69433434895906,13.69433434895906
right,cam2+cam3+cam4,3,ring_mcp_pip,13,14,44.83325694266127,46,-1.1667430573387279,1.1667430573387279
right,cam2+cam3+cam4,3,ring_pip_dip,14,15,28.284655195562518,25,3.284655195562518,3.284655195562518
right,cam2+cam3+cam4,3,ring_dip_tip,15,16,23.824653718978038,22,1.8246537189780376,1.8246537189780376
right,cam2+cam3+cam4,3,wrist_pinky_mcp,0,17,69.2799219575968,82,-12.720078042403202,12.720078042403202
right,cam2+cam3+cam4,3,pinky_mcp_pip,17,18,33.71733513440252,37,-3.282664865597482,3.282664865597482
right,cam2+cam3+cam4,3,pinky_pip_dip,18,19,22.06430459204577,21,1.0643045920457688,1.0643045920457688
right,cam2+cam3+cam4,3,pinky_dip_tip,19,20,18.09960347825063,19,-0.9003965217493715,0.9003965217493715
right,cam1+cam2+cam3+cam4,4,wrist_thumb_cmc,0,1,50.459321422805694,51,-0.5406785771943063,0.5406785771943063
right,cam1+cam2+cam3+cam4,4,thumb_cmc_mcp,1,2,30.992539207396796,35,-4.007460792603204,4.007460792603204
right,cam1+cam2+cam3+cam4,4,thumb_mcp_ip,2,3,30.465086445958043,30,0.46508644595804327,0.46508644595804327
right,cam1+cam2+cam3+cam4,4,thumb_ip_tip,3,4,27.350412078065105,25,2.350412078065105,2.350412078065105
right,cam1+cam2+cam3+cam4,4,wrist_index_mcp,0,5,73.25258510552702,82,-8.747414894472982,8.747414894472982
right,cam1+cam2+cam3+cam4,4,index_mcp_pip,5,6,46.060812077472,46,0.06081207747200068,0.06081207747200068
right,cam1+cam2+cam3+cam4,4,index_pip_dip,6,7,24.75190688298877,24,0.7519068829887701,0.7519068829887701
right,cam1+cam2+cam3+cam4,4,index_dip_tip,7,8,20.50476571210315,20,0.5047657121031506,0.5047657121031506
right,cam1+cam2+cam3+cam4,4,wrist_middle_mcp,0,9,70.56522789055228,82,-11.43477210944772,11.43477210944772
right,cam1+cam2+cam3+cam4,4,middle_mcp_pip,9,10,50.58551663449783,51,-0.41448336550217135,0.41448336550217135
right,cam1+cam2+cam3+cam4,4,middle_pip_dip,10,11,27.492254479854186,27,0.4922544798541857,0.4922544798541857
right,cam1+cam2+cam3+cam4,4,middle_dip_tip,11,12,23.959196981567366,22,1.9591969815673664,1.9591969815673664
right,cam1+cam2+cam3+cam4,4,wrist_ring_mcp,0,13,68.41234614707732,82,-13.587653852922685,13.587653852922685
right,cam1+cam2+cam3+cam4,4,ring_mcp_pip,13,14,43.910883187425604,46,-2.089116812574396,2.089116812574396
right,cam1+cam2+cam3+cam4,4,ring_pip_dip,14,15,28.136601526318202,25,3.136601526318202,3.136601526318202
right,cam1+cam2+cam3+cam4,4,ring_dip_tip,15,16,22.75505745067484,22,0.7550574506748404,0.7550574506748404
right,cam1+cam2+cam3+cam4,4,wrist_pinky_mcp,0,17,69.22748244131388,82,-12.772517558686118,12.772517558686118
right,cam1+cam2+cam3+cam4,4,pinky_mcp_pip,17,18,32.52562712310228,37,-4.474372876897718,4.474372876897718
right,cam1+cam2+cam3+cam4,4,pinky_pip_dip,18,19,22.250486320490197,21,1.2504863204901966,1.2504863204901966
right,cam1+cam2+cam3+cam4,4,pinky_dip_tip,19,20,17.94020797558895,19,-1.059792024411049,1.059792024411049
