hand,combo,num_cameras,bone,start,end,length_mm,gt_length_mm,error_mm,abs_error_mm
right,cam1+cam2,2,wrist_index_mcp,0,5,72.93131868675697,82,-9.068681313243033,9.068681313243033
right,cam1+cam2,2,index_mcp_pip,5,6,50.95495484108373,46,4.954954841083733,4.954954841083733
right,cam1+cam2,2,wrist_middle_mcp,0,9,67.0329956378403,82,-14.967004362159699,14.967004362159699
right,cam1+cam2,2,middle_mcp_pip,9,10,50.742099230118,51,-0.2579007698819993,0.2579007698819993
right,cam1+cam2,2,middle_pip_dip,10,11,26.771321901440317,27,-0.22867809855968346,0.22867809855968346
right,cam1+cam2,2,middle_dip_tip,11,12,25.684210157123562,22,3.6842101571235624,3.6842101571235624
right,cam1+cam2,2,wrist_ring_mcp,0,13,68.98794227043177,82,-13.012057729568227,13.012057729568227
right,cam1+cam2,2,ring_mcp_pip,13,14,42.168504773707625,46,-3.8314952262923754,3.8314952262923754
right,cam1+cam2,2,ring_pip_dip,14,15,27.188550254396553,25,2.188550254396553,2.188550254396553
right,cam1+cam2,2,ring_dip_tip,15,16,23.273208937277595,22,1.2732089372775945,1.2732089372775945
right,cam1+cam2,2,wrist_pinky_mcp,0,17,69.66336562346903,82,-12.336634376530967,12.336634376530967
right,cam1+cam2,2,pinky_mcp_pip,17,18,33.12583085376571,37,-3.874169146234287,3.874169146234287
right,cam1+cam2,2,pinky_pip_dip,18,19,20.812072394727636,21,-0.18792760527236396,0.18792760527236396
right,cam1+cam2,2,pinky_dip_tip,19,20,17.809724981967907,19,-1.190275018032093,1.190275018032093
right,cam1+cam3,2,wrist_index_mcp,0,5,70.94801869237995,82,-11.051981307620053,11.051981307620053
right,cam1+cam3,2,wrist_middle_mcp,0,9,67.76208253010311,82,-14.237917469896885,14.237917469896885
right,cam1+cam3,2,middle_mcp_pip,9,10,50.609719491604956,51,-0.390280508395044,0.390280508395044
right,cam1+cam3,2,middle_pip_dip,10,11,26.11482536453384,27,-0.8851746354661607,0.8851746354661607
right,cam1+cam3,2,middle_dip_tip,11,12,23.05610384819343,22,1.0561038481934304,1.0561038481934304
right,cam1+cam3,2,wrist_ring_mcp,0,13,69.93209526296891,82,-12.067904737031085,12.067904737031085
right,cam1+cam3,2,ring_mcp_pip,13,14,42.46635715628313,46,-3.533642843716869,3.533642843716869
right,cam1+cam3,2,ring_pip_dip,14,15,25.05803182150493,25,0.05803182150492958,0.05803182150492958
right,cam1+cam3,2,ring_dip_tip,15,16,23.559082954949705,22,1.5590829549497052,1.5590829549497052
right,cam1+cam3,2,wrist_pinky_mcp,0,17,73.34161757990228,82,-8.658382420097723,8.658382420097723
right,cam1+cam3,2,pinky_mcp_pip,17,18,29.66318326155891,37,-7.33681673844109,7.33681673844109
right,cam1+cam3,2,pinky_pip_dip,18,19,19.898532294048604,21,-1.1014677059513964,1.1014677059513964
